sample	samples	SH3PXD2B	CTTN	WASL	GRB2	SRC	CD2AP	CAPZA1	sample_type
TCGA-AZ-6603-11	TCGA-AZ-6603-11	10.33	12.3	10.97	11.92	11.25	10.59	11.6	Solid Tissue Normal
TCGA-G4-6625-01	TCGA-G4-6625-01	10.33	12.15	10.85	12.07	11.54	11.26	11.74	Primary Tumor
TCGA-AA-3712-01	TCGA-AA-3712-01	10.33	11.92	10.63	11.48	11.51	10.97	11.54	Primary Tumor
TCGA-AZ-6598-11	TCGA-AZ-6598-11	10.32	12.16	11.46	11.69	11.38	11.27	11.65	Solid Tissue Normal
TCGA-CM-6677-01	TCGA-CM-6677-01	10.31	12.61	11.07	11.81	11.08	10.95	11.94	Primary Tumor
TCGA-NH-A50V-01	TCGA-NH-A50V-01	10.3	12.65	10.75	11.65	11.26	11.19	12.03	Primary Tumor
TCGA-A6-2675-11	TCGA-A6-2675-11	10.3	12.32	11.46	11.86	11.05	11.2	11.57	Solid Tissue Normal
TCGA-NH-A6GC-01	TCGA-NH-A6GC-01	10.28	12.32	10.9	10.91	11.79	11.57	11.35	Primary Tumor
TCGA-A6-6782-01	TCGA-A6-6782-01	10.26	12.26	10.37	11.71	11.72	10.59	11.77	Primary Tumor
TCGA-DM-A28G-01	TCGA-DM-A28G-01	10.26	12.12	10.76	11.27	11.15	11.52	11.76	Primary Tumor
TCGA-5M-AATE-01	TCGA-5M-AATE-01	10.26	12.03	10.48	11.62	11.76	10.6	11.82	Primary Tumor
TCGA-CM-6164-01	TCGA-CM-6164-01	10.24	12.61	10.94	11.78	12.09	10.91	11.61	Primary Tumor
TCGA-CM-6675-01	TCGA-CM-6675-01	10.24	12.53	10.61	12.21	11.72	11.37	11.97	Primary Tumor
TCGA-CM-5860-01	TCGA-CM-5860-01	10.24	11.56	11.25	11.19	10.92	11.2	12.34	Primary Tumor
TCGA-5M-AAT4-01	TCGA-5M-AAT4-01	10.23	12.79	10.79	11.87	10.95	10.67	11.2	Primary Tumor
TCGA-5M-AAT6-01	TCGA-5M-AAT6-01	10.23	12.69	9.636	11.83	10.61	11.24	12.01	Primary Tumor
